Index,C1,C2,C3,C4,C5,C6,C7,C8,Target
781,1,0.445,0.345,0.09,0.3795,0.143,0.074,0.125,10
782,1,0.605,0.49,0.18,1.167,0.457,0.29,0.3745,9
783,2,0.57,0.47,0.14,0.871,0.385,0.211,0.2315,10
784,2,0.545,0.43,0.16,0.844,0.3945,0.1855,0.231,9
785,1,0.495,0.4,0.12,0.6605,0.2605,0.161,0.19,15
786,2,0.59,0.46,0.145,0.9905,0.453,0.2205,0.275,8
787,1,0.21,0.15,0.05,0.0385,0.0155,0.0085,0.01,3
788,2,0.65,0.5,0.165,1.1445,0.485,0.218,0.365,12
789,1,0.38,0.285,0.1,0.2665,0.115,0.061,0.075,11
790,1,0.48,0.38,0.13,0.6175,0.3,0.142,0.175,12
791,1,0.4,0.315,0.105,0.287,0.1135,0.037,0.113,10
792,1,0.65,0.51,0.175,1.155,0.4955,0.2025,0.385,12
793,1,0.63,0.515,0.165,1.352,0.488,0.349,0.45,20
794,2,0.43,0.34,0.12,0.391,0.1555,0.095,0.1405,7
795,2,0.445,0.335,0.11,0.4355,0.2025,0.1095,0.1195,6
796,1,0.535,0.405,0.185,0.8345,0.3175,0.1725,0.29,16
797,3,0.445,0.33,0.12,0.347,0.12,0.084,0.105,11
798,2,0.45,0.335,0.105,0.425,0.1865,0.091,0.115,9
799,1,0.57,0.405,0.16,0.9245,0.3445,0.2185,0.295,19
800,3,0.47,0.35,0.13,0.466,0.1845,0.099,0.145,11
801,2,0.575,0.445,0.14,0.941,0.3845,0.252,0.285,9
802,1,0.57,0.455,0.155,0.832,0.3585,0.174,0.277,11
803,3,0.5,0.37,0.12,0.5445,0.249,0.1065,0.152,8
804,1,0.2,0.14,0.055,0.035,0.0145,0.008,0.01,5
805,3,0.55,0.425,0.15,0.7665,0.339,0.176,0.21,8
806,2,0.73,0.56,0.19,1.9425,0.799,0.5195,0.5655,11
807,2,0.57,0.45,0.135,0.7805,0.3345,0.185,0.21,8
808,2,0.67,0.52,0.195,1.8065,0.758,0.3735,0.5055,11
809,1,0.555,0.45,0.175,0.874,0.3275,0.202,0.305,10
810,2,0.505,0.39,0.16,0.644,0.2475,0.2025,0.1635,9
811,3,0.55,0.42,0.135,0.816,0.3995,0.1485,0.23,12
812,2,0.665,0.5,0.175,1.4355,0.643,0.345,0.37,9
813,3,0.33,0.205,0.095,0.1595,0.077,0.032,0.0435,5
814,1,0.72,0.545,0.195,1.7475,0.8215,0.383,0.4705,11
815,1,0.525,0.4,0.17,0.7305,0.279,0.2055,0.195,11
816,3,0.46,0.35,0.1,0.471,0.252,0.077,0.123,8
817,3,0.5,0.395,0.12,0.537,0.2165,0.1085,0.1785,9
818,3,0.585,0.45,0.15,0.8915,0.3975,0.2035,0.253,8
819,3,0.185,0.375,0.12,0.4645,0.196,0.1045,0.15,6
820,2,0.405,0.325,0.11,0.3575,0.145,0.0725,0.11,12
821,1,0.56,0.435,0.18,0.889,0.36,0.204,0.25,11
822,2,0.46,0.35,0.115,0.44,0.19,0.1025,0.13,8
823,3,0.595,0.43,0.165,0.9845,0.4525,0.207,0.2725,8
824,3,0.41,0.325,0.1,0.394,0.208,0.0655,0.106,6
825,1,0.66,0.53,0.175,1.583,0.7395,0.3505,0.405,10
826,2,0.37,0.275,0.08,0.227,0.093,0.0625,0.07,8
827,3,0.27,0.19,0.06,0.099,0.0445,0.017,0.03,5
828,2,0.625,0.47,0.145,0.984,0.475,0.2,0.265,11
829,2,0.67,0.53,0.205,1.4015,0.643,0.2465,0.416,12
830,3,0.55,0.435,0.165,0.804,0.34,0.194,0.244,8
831,3,0.365,0.295,0.095,0.25,0.1075,0.0545,0.08,9
832,2,0.545,0.43,0.14,0.832,0.4355,0.17,0.201,9
833,2,0.525,0.43,0.165,0.717,0.289,0.1745,0.195,10
834,3,0.54,0.415,0.155,0.702,0.322,0.167,0.19,10
835,2,0.415,0.34,0.13,0.3675,0.146,0.0885,0.12,10
